Anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences,src_port_same,dst_port_same
0x88cc,00:1b:1b:26:f3:2d,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,7,0,0
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,TCP,192.168.0.151,192.168.0.10,6,0,102,1268,0,0
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,TCP,192.168.0.10,192.168.0.151,6,0,49686,494,0,0

Non anomalies
eth_type,eth_src,eth_dst,protocol,ip_src,ip_dst,ip_proto,ip_src_port,ip_dst_port,occurrences
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO,0.0.0.0,0.0.0.0,0,0,0,14548
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,13552
0x8892,28:63:36:79:aa:b6,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,47
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO,0.0.0.0,0.0.0.0,0,0,0,235
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO,0.0.0.0,0.0.0.0,0,0,0,339
0x88cc,28:63:36:79:aa:b6,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,12
0x88cc,38:4b:24:c9:15:f4,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,12
0x8892,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,PN_PTCP,0.0.0.0,0.0.0.0,0,0,0,46
0x88cc,38:4b:24:c9:15:f1,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,38:4b:24:c9:15:f3,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x88cc,00:1b:1b:26:f3:2e,01:80:c2:00:00:0e,LLDP,0.0.0.0,0.0.0.0,0,0,0,11
0x0806,28:63:36:79:aa:b4,ff:ff:ff:ff:ff:ff,ARP,0.0.0.0,0.0.0.0,0,0,0,21
0x0806,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,ARP,0.0.0.0,0.0.0.0,0,0,0,14
0x8892,28:63:36:79:aa:b4,01:0e:cf:00:00:00,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,12
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,6
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_DEVICE,192.168.0.10,192.168.0.20,17,0,0,18
0x8892,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,DATA,0.0.0.0,0.0.0.0,0,0,0,27360
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO_DEVICE,192.168.0.20,192.168.0.10,17,0,0,18
0x8892,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,DATA,0.0.0.0,0.0.0.0,0,0,0,26356
0x0800,00:1b:1b:26:f3:2d,28:63:36:79:aa:b4,PN_IO_CONTROLLER,192.168.0.20,192.168.0.10,17,0,0,6
0x0800,28:63:36:79:aa:b4,00:1b:1b:26:f3:2d,PN_IO_CONTROLLER,192.168.0.10,192.168.0.20,17,0,0,6
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_DCP,0.0.0.0,0.0.0.0,0,0,0,2
0x0806,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,ARP,0.0.0.0,0.0.0.0,0,0,0,2
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_DEVICE,192.168.0.10,192.168.0.15,17,0,0,3
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO_DEVICE,192.168.0.15,192.168.0.10,17,0,0,3
0x8892,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,DATA,0.0.0.0,0.0.0.0,0,0,0,140
0x8892,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,DATA,0.0.0.0,0.0.0.0,0,0,0,35
0x0800,38:4b:24:c9:15:f0,28:63:36:79:aa:b4,PN_IO_CONTROLLER,192.168.0.15,192.168.0.10,17,0,0,1
0x0800,28:63:36:79:aa:b4,38:4b:24:c9:15:f0,PN_IO_CONTROLLER,192.168.0.10,192.168.0.15,17,0,0,1
